"Stars","Title","State Penalty","docking score","globalStrain(kcal)","energy","Chirality 1","Chirality 2"
3,"20240813_D5",0.0000,-8.953,8.944,,"",""
3,"20240813_D10",0.0000,-8.909,9.392,,"",""
3,"20240813_D12",0.0005,-8.833,8.596,,"",""
2,"20240813_D1",0.0027,-8.626,9.808,,"",""
2,"20240813_D2",0.0000,-8.401,9.683,,"",""
2,"20240813_D3",2.1237,-6.704,11.922,,"",""
2,"20240813_D4-T1",0.3226,-8.296,8.513,,"",""
2,"20240813_D6",0.0000,-8.737,12.306,,"",""
2,"20240813_D7-T1",0.0073,-8.930,12.006,,"",""
2,"20240813_D8",0.0000,-8.886,12.629,,"",""
2,"20240813_D9",0.0319,-9.800,8.274,,"",""
2,"20240813_D11",0.0000,-8.526,13.760,,"",""
