"Stars","Title","State Penalty","docking score","localStrain(kcal)","globalStrain(kcal)","glide gscore"
2,"20241106_D1",0.0000,-9.706,10.322,20.391,
2,"20241106_D2",0.0000,-10.082,11.161,16.198,
2,"20241106_D3",0.0000,-10.103,10.181,19.283,
2,"20241106_D4",0.0000,-9.466,8.532,16.877,
2,"20241106_D5",0.0000,-9.695,7.899,22.078,
2,"20241106_D6",0.0000,-9.807,12.544,17.745,
1,"20241106_D7",0.0000,-9.408,12.141,19.038,
2,"20241106_D8",0.0000,-9.794,5.035,26.000,
2,"20241106_D9",0.0000,-9.704,9.111,18.192,
2,"HW041",0.0000,-9.856,12.402,18.775,
